game_name,review_text
EA Sports PGA Tour,"Reception

According to the review aggregator Metacritic, the PlayStation 5 version of EA Sports PGA Tour received ""generally favorable reviews"", while the PC and Xbox Series X and S versions received ""mixed or average reviews""."
Everspace 2,"Reception
Critical reception

According to review aggregator Metacritic, the game received generally positive reviews upon launch. According to OpenCritic, 93% of 30 critic reviews recommend the game.

Renata Price from Vice described the game as ""one of the best space shooters in years"", lauding its combat, control and map design. Writing for PC Gamer, Ian Evenden described the game as ""Diablo in space"" and an ""an expertly crafted space adventure"". Jon Bolding from IGN praised the game's gameplay, though he felt its narrative and cast of characters were uninteresting, and criticized its setting for being derivative and unoriginal.

Sales
By May 2, 2023, the game had sold more than 300,000 copies."
Exoprimal,"Reception

Exoprimal received ""mixed or average"" reviews, according to review aggregator Metacritic."
Final Fantasy XVI,"Reception

Critical reception
Final Fantasy XVI received ""generally favorable reviews"" based on 131 critics on Metacritic. According to OpenCritic, 93% of 135 critic reviews recommend the game.

Speaking about the story, Michael Higham of GameSpot praised the writing's handling of its darker themes and found the cast enjoyable, while IGNs Mitchell Saltzman was highly positive about the story and characters, and lauded the lead performances. Game Informer Wesley LaBlanc enjoyed the wider narrative, though he viewed a lack of diversity in the cast as undermining its themes, despite the fantasy setting. Jordan Middler, writing for Video Games Chronicle, found the story well told and its cast likeable after a slow start filled with worldbuilding and unfamiliar terminology.. Similarly, Zach Wilkerson of RPGFan found the female characters underdeveloped, though praised the narrative and the cast overall. Giovanni Colantonio of Digital Trends found the story lacked engagement after its shift away from Clive's revenge quest, additionally finding few of the characters memorable, but praised the overall lore.

Higham  praised the graphics and cinematics as adding to the overall story and design, while Wilkerson called the game's graphics ""incredible"". Middler lauded the overall visual design, but noted some stilted animation for side characters in some cutscenes. LaBlanc noted a lack of detail or variety in NPC designs and felt the visual effects got in the way of gameplay at times. A recurring complaint among reviewers was an unstable framerate. Soken's score for the game met with unanimous praise.

Higham described Final Fantasy XVI as the series' most drastic gameplay shift to date, praising the variety of ability combinations possible later into the game. Colantonio was pleased by the scale and spectacle of Eikon fights and enjoyed the combat despite it being driven by the story; he hoped the series would continue refining these elements in future installments. Evans-Thirlwell noted the wide variety of special abilities and customization elements to complement the basic combat mechanics, while LaBlanc called the battle system ""[his] favorite action combat system to date"" despite some pacing issues with quests and character progression. Saltzman highlighted the focus on wearing down enemies to inflict high damage and creating combination attacks as the strongest part of the combat system. Wilkerson praised the customization available to expand the combat options for new and experienced action game players, but felt the difficulty too easy overall and noted a lack of enemy variety. Middler praised the action combat, positively noting its brisk pace and lack of unnecessary filler would allow players to speed through the campaign. Several reviewers positively compared the scale and spectacle of Eikon battles to setpieces from God of War III and Asura's Wrath. Recurring criticism was focused on the lack of mechanical depth, and uninteresting side quest design.

Sales
Final Fantasy XVI sold over 3 million copies worldwide during its first week of release, and was also the best-selling retail game in Japan that week, with 336,027 physical copies being sold."
Fire Emblem Engage,"Reception

Critical reception
Fire Emblem Engage received ""generally favorable"" reviews according to the review aggregator Metacritic, where it has an aggregate score of 80/100 based on 127 reviews.  Reviewers generally considered the gameplay of Engage excellent.  PJ O'Reilly of Nintendo Life wrote that the gameplay was not merely the best in the series, but was of the finest quality of turn-based tactical RPGS in general.  Even reviewers who ultimately disliked the game tended to grant this; Hirun Cryer of GamesRadar+ called the work as a whole a missed opportunity, but still acknowledged it as one of the most absorbing turn-based games in years judged by its gameplay.  Exceptions to this gameplay praise were mostly in the Somniel: the optional minigames there were considered repetitive and uninteresting, although at least skippable.  The optional quasi-multiplayer modes were largely ignored by reviewers; Will Greenwald of PCMag called these modes underwhelming.  Reviewers generally thought that the graphics and soundtrack were outstanding, as well, with high production value cutscenes, exciting combat animations, and fitting music for each region.

Opinions were mixed on its story and characters.  Most reviewers agreed that the plot was weak, although disagreed on how much this detracted from the game.  Mike Mahardy of Polygon called the plot ""nothing short of terrible"" but admired the pacing and the sharp focus on gameplay: the player can quickly speed through the brief cutscenes and go from battle to battle.  Matthew Zawodniak of Nintendo World Report, while acknowledging the plot was thinner than previous entries, had a more positive view of the characters of Engage and considered them one of his favorite casts in the franchise.  Other reviewers were outright hostile to the cast, calling the support conversations between characters boring.

The explicit fanservice in the game's callbacks to the past Fire Emblem heroes as Emblems also received mixed critical opinions.   Brendan Graeber of IGN admired the result and the reverence Engage showed for previous Fire Emblems characters, while others thought that the Emblems took away limited screentime from the human characters.   Ash Parrish of The Verge criticized the support conversations between characters and Emblems; rather than letting the player learn more about heroes of earlier Fire Emblem games, the conversations were instead shallow, short, and uninteresting.  The Emblems hardly ever talked with each other, either.  More positively, the design on the ""Paralogue"" missions was praised; the late-game Paralogues are themed around a specific Emblem and feature a battle based on a chapter from that Emblem's original game.

Reviewers frequently compared the game with previous series entry Fire Emblem: Three Houses, in particular the change from a heartbreaking conflict between former friends to a more classic good vs. evil plotline.  Jordan Middler of Video Games Chronicle lamented that Engage threw away so many of the strengths of Three Houses that made it such a huge hit, and called it a missed opportunity.  Sisi Jiang of Kotaku wrote that Engage ""took ten steps back"" in terms of story from Three Houses.  Renata Price of Waypoint also said that Engage puzzlingly failed at all of the most notable strengths of Three Houses, such as in its far blander characters and unambitious setting, but that the excellently designed missions and deep tactical RPG gameplay of Engage surpassed the gameplay experience of Three Houses.

Sales

Fire Emblem Engage was the best-selling retail game during its first week of release in Japan, selling around 145,000 physical copies across the country.  By March 31, 2023, Engage had sold 1.61 million copies worldwide.  Engage had the second-highest digital sales at the Nintendo Switch eShop during the first half of 2023 in Japan, behind The Legend of Zelda: Tears of the Kingdom."
Firmament (video game),"Reception

Firmament received a score of 69 on Metacritic, indicating ""mixed or average reviews"".

PC Gamer calls Firmament a ""graphically gorgeous descendant of Myst, paradoxically limited by its own ambitions"", praising the world design, but feeling the game lacked challenge compared to other puzzle games. Shacknews applauded Cyan Worlds for ""continuing to design these games without flashy ruckus, time limits, or deaths to speak of"", considering it ""ridiculously abstract at times"", but felt it captured much the same ambience as Myst. Softpedia praised the world design, but criticized the limitations of the narrative and of the character interaction with the environment, particularly with ascending stairs that were hard to notice. They noted that Firmament had a ""built-in audience of Myst fans"" to whom the quirks of the developer would appeal, but newcomers ""might be impressed by this world at first and will then struggle to engage with it"". They also compared the steampunk environment of Firmaments Realms to Columbia in BioShock Infinite, which ""reveals there was space for more originality"". Inverse criticized the narrative as ""too thin"" compared to Myst, Riven and Obduction, but praised ""Cyan's ability to make players care about fictional worlds"", calling it ""the most approachable game in the company's history"" and a ""perfect primer for the puzzle adventure genre at large"".

 Debate over artificial intellegence-generated assets 
Following the game's release, a backlash was encountered by the game's developers when a concerned player brought to fans' attention that the game utilized ""A.I. assisted content"", including pieces of artwork like backer portraits and unspecified amounts of the game's in-universe written text. The developers also acknowledged A.I. tools were used to edit the voice acting. Fans noted that they were not informed of this potentially controversial change during the Kickstarter campaign, believing that it resulted in an inferior game and amounted to plagiarism of actual artists.

In response, Cyan released a statement on June 9, 2023, which goes into detail of their use of the technology, noting that it was used to alter existing voice acting and was used to ""ideate"" the writing and art, but not used to provide assets directly."
Fuga: Melodies of Steel 2,"Reception

Fuga 2 received a 33 out of 40 total score from Japanese Famitsu magazine based on individual reviews of 9, 8, 8, and 8. Austin Wood of Yahoo! Singapore described the game as ""Beastars meets Valkyria Chronicles"", calling it ""a legitimately good strategy game;"" praising it for its moral and strategic choices. Azario Lopez of Niche Gamer found the title to be ""a remarkable sequel that borrows many gameplay elements and assets from its predecessor while introducing new systems that improve the experience,"" granting it an 8.5 out of 10. Lopez further remarked that the large amount of borrowed graphical assets from the first game does result in visual fatigue, and that full enjoyment of Fuga 2 relies on both having played the original and how invested the player is in the characters and their stories. John Cantees of GamingBolt stated that the sequel was ""a surprisingly solid tactical RPG that strikes a good balance between accessibility and skill"" giving it the final verdict of ""great"", John also pointed out how ""the story is hampered by weak writing and inconsistent characters, but apart from that there isn't much to complain about""."
Hi-Fi Rush,"Reception

Hi-Fi Rush received ""generally favorable"" reviews, according to review aggregator Metacritic.

Jordan Middler, from Video Games Chronicle, said that Hi-Fi Rush is ""oozing with style and confidence"", although there are ""repetitive level design and some clunky platforming"", scoring with a 4 out of a 5 star rating. Jesse Norris, from XboxEra, praised the combat, calling it sublime, but ""can become difficult to read as the screen fills up with utter chaos"", scoring it with 9.5 out of 10. Diego Argüello, from Polygon, called its animation gorgeous and Jet Set Radio-esque art style vivid and arresting. Giovanni Colantonio, from Digital Trends, called it ""Tango Gameworks' most confident, stylish and surprising project to date"". On the other hand, Tyler Colp from PC Gamer found the game promising in its concept but ultimately average in the action genre, and thought its setlist of music was limited and dated.

The game reached 2 million players by March 2023, which has been counted as a mix of both digital sales and downloaded Game Pass subscriptions."
Honkai: Star Rail,"Reception

Honkai: Star Rail received ""generally favorable reviews"" according to review aggregator Metacritic.

Eurogamer recommended the game for its ""delightfully goofy humour, charismatic voice cast, and truly magnificent combat"", despite the writers' tendency to ""give one sentence explanations for important details, yet spend eight paragraphs overexplaining the simplest plot twist"". Rock Paper Shotgun called the game ""still in its early stages but (...) incredibly good fun to play"", comparing it to ""Star Ocean, but if everyone was hotter and you could gamble"". The reviewer praised the combat system for being deep yet approachable, and noted that, like in Genshin, spending money was not necessary to progress, as all content in the game could be cleared with the characters players receive for free. PC Gamer appreciated Star Rails ""impeccable visual style and strategic depth"" and its ""elastic tone, which fluctuates from the heroic optimism of a space opera, to the dark comedy of a Nier game, with a lot of Final Fantasy 14s soap opera storytelling mixed in"". To the reviewer, the game's main draw was its ""sheer creativity"" and that it ""distills what's most satisfying about turn-based RPGs: tactical, team-based decisions."""
Hrot,"Reception

On Metacritic, Hrot received  Generally favorable reviews.

Rock Paper Shotgun praises its design but criticizes its weapon selection."
Jagged Alliance 3,"Reception

Jagged Alliance 3 received ""generally favorable reviews"", according to review aggregator Metacritic."
The Legend of Zelda: Tears of the Kingdom,"Reception

According to the review aggregator Metacritic, Tears of the Kingdom received ""universal acclaim"".

Several critics praised the expansion of the open world introduced in Breath of the Wild. Tom Marks of IGN praised the addition of the sky islands and caves as ""massive"" and ""brilliant complements to the more traditional surface activities"". He also complimented the story as distinguishing itself from typical plots of Zelda games. Edwin Evans-Thirwell of Eurogamer praised the seamlessness of the ""loop between underworld and sky"", writing that while the ""caverns aren't always worth the toil of discovery, none of the sky islands feel dispensable"", praising the ""irresistible, toylike specificity"" of their design. On the differences from Breath of the Wild, Steve Watts of GameSpot praised the ""subtle ways"" the world had changed, saying that ""not everything is exactly the same or where you'd expect it to be, and the map is marked with myriad opportunities for exploration and curiosity"". Game Informer Kyle Hilliard ""didn't get the same goosebumps exploring Hyrule"" as he did from Breath of the Wild, but nevertheless ""adored returning to Hyrule with all new tools.""

Critics praised the addition of powers and building features to traverse and interact with the environment. Tom Marks of IGN wrote that ""the sandbox is bigger, richer, and somehow even more ambitious"", praising the building system as ""walking the line of powerful but approachable extremely well"", ""tons of fun"", and ""woven into every part"". Steve Watts of GameSpot described the powers as ""much more flexible"" than its predecessor and a ""beautifully implemented evolution of what made Breath of the Wild so special"", stating ""these tools give Tears of the Kingdom a particular flow that feels unique to the Zelda franchise."" Mike Mahardy of Polygon praised the emphasis on ""self-driven experimentation"" as ""paramount in traversal, combat, and discovery... Experimenting with each of [the] powers and discovering how they interact is the game.""

Several critics were mixed on the impact of performance problems. Alana Hagues of Nintendo Life wrote: ""It's evident that Tears of the Kingdom is pushing the system to its limits"", citing frame rate drops to the ""low 20s"" during ""busy fights and locations"", although stating ""it's not hugely disruptive, and it didn't feel any worse than Breath of the Wild... but it serves as a staunch reminder of the now-six-year-old console's limitations."" Writing that ""the Switch continues to show its age"", Mike Mahardy of Polygon noted ""the frame rate can still be abysmal, especially in dense forests or areas with busy water effects. Loading times are unpredictable, ranging from two seconds to 10."" Steve Watts of GameSpot noted concerns about the aging Switch hardware, saying he ""barely ever saw a hitch while playing mostly in handheld mode... even then, the performance dips were minor and temporary.""

Sales
Tears of the Kingdom was the first Nintendo-developed game to be priced at $70 in the US. More than 10 million copies of Tears of the Kingdom were sold in its first three days of release, making it the fastest-selling game in The Legend of Zelda franchise, as well as the fastest selling Nintendo game in the Americas with over four million copies sold in the US alone. Tears of the Kingdom sold over 2.24 million copies within its first three days of release in Japan, and according to Famitsu, it sold over 1.1 million physical copies alone.

Accolades
+ Awards and nominations Year Ceremony Category Result  2020 The Game Awards 2020 Most Anticipated Game  2021 Golden Joystick Awards Most Wanted Game  The Game Awards 2021 Most Anticipated Game  2022 Golden Joystick Awards Most Wanted Game  The Game Awards 2022 Most Anticipated Game "
Loop8: Summer of Gods,"Reception

Destructoid favorably compared Loop8 to the Persona series of video games prior to release. Scott Adams of The OuterHaven who reviewed the full game described it as fantastic, praising the visuals, sound, and relationship mechanic, despite some issues with the game design.

Several other publications were less positive, with Cullen Black of RPG Site describing it as  full of great ideas that never come together. George Yang of Nintendo Life'''s view was that that it fails to leave an emotional impact towards the end and is repetitive and frustrating. Thomas Knight of NookGaming and Jenny Jones of Push Square echoed the criticism of its repetitive nature, mentioning going over the same conversations repeatedly. Thomas Knight also mentioned issues with inconsistency in conversations too, with events happening earlier than they should or in the wrong order.

The Nintendo Switch version of Loop8: Summer of Gods'' was the ninth bestselling retail game during its first week of release in Japan, with 5,796 physical copies being sold. The PlayStation 4 version was the sixteenth bestselling retail game in Japan throughout the same week, selling 2,775 physical copies."
The Lord of the Rings: Gollum,"Reception

The Lord of the Rings: Gollum received ""generally unfavorable"" reviews, according to review aggregator Metacritic.

The game's technical aspects and stability were criticized. Digital Trends could not initially score the game due to persistent crashes until a day-one patch was released, the first time in the publication's history. Others faulted the user interface and perceived downgrading of Gollum's character model since the game's announcement.

Rock Paper Shotgun felt the opening was poorly paced, boring the player with fetch quests and pointless dialogue, ""While it does pick up somewhat in the second half, the first eight hours where Gollum is trying to escape the slave camps beneath Barad-dûr are nothing short of a slog"". The Guardian criticized the shoddy camera movement and general bugginess of the game, ""The whole game feels profoundly unstable, as if a stiff digital breeze would bring the entire thing down"". GameSpot disliked the boring mission design of the game, ""sans a few slightly more in-depth objectives at big story moments, the majority of your tasks amount to some version of, ""Follow the person!"" ""Collect the thing!"" or, in one case, literally ""Stand in line!""."
Master Detective Archives: Rain Code,"Reception

Master Detective Archives: Rain Code was the bestselling retail game during its first week of release in Japan, with 55,339 physical copies being sold across the country."
Meet Your Maker,"Reception

According to review aggregator Metacritic, the PC version of the game received ""generally positive reviews"", while the PS5 and the Xbox Series X versions of the game received ""mixed or average"" reviews.

Travis Northup from IGN described the game as a ""terrific concept"", and that the game's launch was a ""great start for a dungeon-delving shooter that’s as unique as it is hard to put down"". However, he wrote that at launch, the game did not have sufficient content and noted that the game had technical issues. Imogen Donovan from NME wrote that the game did not provide incentive for players to create ""artistically challenging"" levels. She felt that while the game sometimes offered a tense and satisfying experience, many of the levels created by players are way too difficult, and that ""outposts are built for greatest gain to the builder, not to the community""."
MLB The Show 23,"Reception
The game received generally positive reviews upon release."
Moderator Mayhem,"Reception
Moderator Mayhem was recognized as a way to better understand content moderation and the effect of policy thereon. The hosts of This Week in Google podcast said the game demonstrates how policies affect people, and that the game itself is an example of journalism.  Doctorow suggests it as important to discussions of content moderation, because of the impact of technology regulation on people's lives. Business Punk magazine suggests it may help the player appreciate the difficulty of the task of content moderation, while Rob Pegoraro of PC Magazine said the game showed him he did not want a job as a content moderator. Inforrm noted the game's relevance to discussions of legal compliance, media safety and free speech."
The Murder of Sonic the Hedgehog,"Reception

According to the review aggregate website Metacritic, The Murder of Sonic the Hedgehog received ""generally favorable reviews"". Grayson Morley on Polygon praised the game for how it went beyond expectations of a free April Fools' Day joke game with its art, humor, music and sincerity.

Eurogamer noted that the game was received positively by players, with its Steam user reviews in its first weekend of release garnering it an ""overwhelmingly positive"" rating. According to Chrzanowski, the game was downloaded more than one million times in its first week."
OddBallers,"Reception
The game has received mixed reception from critics. IGN, Eurogamer, and NintendoLife all saw it as a fun but flawed game. Aspects praised include the core gameplay mechanics, amount of unlockables and customization for characters, and simple controls. The minigame that interwove beekeeping into the dodgeball formula was cited as a standout minigame. A major complaint was the game's online multiplayer, in that it was very difficult to find others to play with, and the inability to play online lessened the importance of the character customization, which was a major point of the game's progression."
Osiris: New Dawn,"Reception
While in Early Access, Osiris: New Dawn was awarded the ""PAX West Best Survival Game"" from MMOGames and the ""PAX West Best Indie MMO"" from MMORPG. While the game was in early access, it received mixed reviews from critics. On the day it was launched on Steam, the game rose to the top of the current best sellers."
Paranormasight: The Seven Mysteries of Honjo,"Reception

Paranormasight: The Seven Mysteries of Honjo received a score of 85/100 on review aggregate site Metacritic based on 27 reviews, indicating ""generally favorable reviews"".

Joe DeVader of Nintendo World Report praised the game mechanics and art style, but opined that the horror gets in the way of the story occasionally, and deemed the Switch controls to be poor, noting awkward d-pad navigation. Ollie Reynolds declared the game to be ""one of the most intriguing and engaging narratives we’ve experienced in a good while"", and praised the game's visuals, characters, and horror scenes. Handley, while describing the game as having ""few bells and whistles"", said that it manages to be stylish, specifically with the wide panoramic backgrounds to search through. Abraham Kobylanski of RPGFan admired the characters, but found the narrative too straightforward and felt that it relied too heavily on comedy over horror."
Pikmin 4,"Reception

Pikmin 4 received ""generally favorable"" reviews, according to review aggregator Metacritic. Nintendo Life scored the game nine out of ten, praising the graphics, performance in both handheld and docked modes and level design."
